N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;9;BUENOS AIRES;SEC ESC JOSE DE SAN MARTIN;IE ;105001020028(105001002640);2396342;atencion.comunidad@elsalvador.edu.co;CL 39 38 21;JUAN EGLANTINO DIAZ LONDOÑO;RECTOR;2396342;JUAN EGLANTINO DIAZ LONDOÑO;RECTOR;2396342;atencion.comunidad@elsalvador.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;9;BUENOS AIRES;INST EDUC MADRE LAURA;IE ;305001018839;2690627;rectoria@iemadrelaura.edu.co iemadrelaura@hotmail.com;CL 45 22 A 81;HNA LUZ MARINA ZAPATA OLAYA;RECTOR;2690627;HNA LUZ MARINA ZAPATA OLAYA;RECTOR;2690627;rectoria@iemadrelaura.edu.co iemadrelaura@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;9;BUENOS AIRES;SEC ESC DIVINO SALVADOR;IE ;105001010855 (105001000710);2169941;ieacastrillon@yahoo.es edisoneduardo.zapataa@ieanadecastrillon.edu.co;CR 38B  40-29;HECTOR MAURICIO CALLE GALLEGO;RECTOR;2169941;HECTOR MAURICIO CALLE GALLEGO;RECTOR;2169941;ieacastrillon@yahoo.es edisoneduardo.zapataa@ieanadecastrillon.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;9;BUENOS AIRES;INST EDUC LA PASTORA;IE ;105001026662;2699390;institucioneducativalapastora@gmail.com;CL 45 10A 30;NELSON DE JESUS VERGARA GRANADA;RECTOR;2699390;NELSON DE JESUS VERGARA GRANADA;RECTOR;2699390;institucioneducativalapastora@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;9;BUENOS AIRES;COL TOMAS CARRASQUILLA;IE ;305001004544;2162583;secretaria@colegiotomascarrasquilla.com;CR 38 42-41;MARGARITA OSPINA DE RAMIREZ;RECTOR;2162583;MARGARITA OSPINA DE RAMIREZ;RECTOR;2162583;secretaria@colegiotomascarrasquilla.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;10;LA CANDELARIA;INST EDUC ALFONSO LOPEZ PUMAREJO;IE ;105001012696;3200510;ie.alfonsolopezpumar@medellin.gov.co;CL 58 36 B 40;"MONICA ROSA LONDOÑO ZULUAGA
";RECTOR;3200510;MONICA ROSA LONDOÑO ZULUAGA;RECTOR;3200510;ie.alfonsolopezpumar@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;10;LA CANDELARIA;INST EDUC EL SALVADOR;IE ;105001020028;2180993;atencion.comunidad@elsalvador.edu.co;CR 38 A 34 207;JUAN EGLANTINO DIAZ LONDOÑO;RECTOR;2180993;JUAN EGLANTINO DIAZ LONDOÑO;RECTOR;2180993;atencion.comunidad@elsalvador.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;10;LA CANDELARIA;INST EDUC TULIO OSPINA;IE ;105001005347;5123594;secretaria@ito.edu.co;CL 60 51 48;YENI ASTRID DURANGO BARRERA;RECTOR;5123594;YENI ASTRID DURANGO BARRERA;RECTOR;5123594;secretaria@ito.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;10;LA CANDELARIA;INST EDUC SAN BENITO;IE ;105001026514;2510634;ie.sanbenito@medellin.gov.co;CR 56 54 A 25;"MARGARITA MARIA SANCHEZ LEON
";RECTOR;2510634;MARGARITA MARIA SANCHEZ LEON;RECTOR;2510634;ie.sanbenito@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;10;LA CANDELARIA;INST EDUC CEFA;IE ;105001000108;2175337;ie.cefa@medellin.gov.co;CL 50 41 55;AURA CECILIA MEDINA CORREA;RECTOR;2175337;AURA CECILIA MEDINA CORREA;RECTOR;2175337;ie.cefa@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;10;LA CANDELARIA;INST EDUC HECTOR ABAD GOMEZ;IE ;105001000256;2161258-2163805;ie.hectorabad@medellin.gov.co;CL 50 39 65;ELKIN RAMIRO OSORIO VELASQUEZ;RECTOR;2,16126E+13;ELKIN RAMIRO OSORIO VELASQUEZ;RECTOR;2161258-2163805;ie.hectorabad@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;10;LA CANDELARIA;SEC ESC DARIO LONDOÑO CARDONA;IE ;105001000256(105001026158);2623588;ie.hectorabad@medellin.gov.co;CL 44 43 96;ELKIN RAMIRO OSORIO VELASQUEZ;RECTOR;2623588;ELKIN RAMIRO OSORIO VELASQUEZ;RECTOR;2623588;ie.hectorabad@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;10;LA CANDELARIA;INST EDUC JAVIERA LONDOÑO;IE ;105001001562;"	2396363 2395055";105001001562@medellin.edu.co;CL 53 40 65;ALFONSO DE JESUS GUARIN SALAZAR;RECTOR;2396363 2395055;ALFONSO DE JESUS GUARIN SALAZAR;RECTOR;2396363 2395055;105001001562@medellin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;10;LA CANDELARIA;SEC ESC ANTONIA SANTOS;IE ;105001001562 (105001001112);2390534;105001001562@medellin.edu.co;CL 50 B 38 11;ALFONSO DE JESUS GUARIN SALAZAR;RECTOR;2390534;ALFONSO DE JESUS GUARIN SALAZAR;RECTOR;2390534;105001001562@medellin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;10;LA CANDELARIA;SEC ESC LUIS ALFONSO AGUDELO;IE ;105001001562 (105001000515);2320633;105001001562@medellin.edu.co;CR 43 A 38 20;ALFONSO DE JESUS GUARIN SALAZAR;RECTOR;2320633;ALFONSO DE JESUS GUARIN SALAZAR;RECTOR;2320633;105001001562@medellin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;10;LA CANDELARIA;INST EDUC ANA DE CASTRILLON;IE ;105001010855;2178032;ieacastrillon@yahoo.es ;CR 38 C 39 B 86;HECTOR MAURICIO CALLE GALLEGO;RECTOR;2178032;HECTOR MAURICIO CALLE GALLEGO;RECTOR;2178032;hmauricio.calleg@ieanadecastrillon.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;10;LA CANDELARIA;INSTITUTO DE EDUCACIÓN COMFENALCO  CONSUELO MONTOYA GIL ;IE ;305001019606;        4489770 ext 4227 o 4201;Sin registro;CR 50 N° 53 16;CAROLINA FRANCO GIRALDO;RECTOR;        4489770 ext 4227 o 4201;CAROLINA FRANCO GIRALDO;RECTOR;        4489770 ext 4227 o 4201;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;10;LA CANDELARIA;INST DE CIENCIAS APLICADAS - INDECAP;IE ;305001021252;2844794;indecap@indecap.edu.co;CL 56 45 26;CLAUDIA MARIA TORO GARCIA;RECTOR;2844794;CLAUDIA MARIA TORO GARCIA;RECTOR;2844794;indecap@indecap.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;10;LA CANDELARIA;COL COMBOS COMUNIDAD EDUCATIVA DE BASE;IE ;305001022518;        5141672 5126251 5138168;comunicaciones@combosconvoz.org;CL 51 56 A 35;GLORIA AMPARO HENAO MEDINA;RECTOR;        5141672 5126251 5138168;GLORIA AMPARO HENAO MEDINA;RECTOR;        5141672 5126251 5138168;comunicaciones@combosconvoz.org;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;10;LA CANDELARIA;COL EMPRESARIAL EDUCATIVO - CEMPED;IE ;305001022666;5203450;mercadeo@cemped.edu.co;CL 56 N° 41 87;MARIA ELSY PRISCO VASQUEZ;RECTOR;5203450;MARIA ELSY PRISCO VASQUEZ;RECTOR;5203450;mercadeo@cemped.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;10;LA CANDELARIA;C.E. DE CÓMPUTO EMPRESARIAL PARA EL TRABAJO - CINDECÓPUTO;IE ;305001025657;2162695;rectoriacindecomputo@gmail.com;CL 55 43 74;DOLLY ELENA PÉREZ CHICA;RECTOR;2162695;DOLLY ELENA PÉREZ CHICA;RECTOR;2162695;rectoriacindecomputo@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;10;LA CANDELARIA;CENT EDUC CASA MAMA MARGARITA;IE ;305001017115;2182156 2172251;casamm@une.net.co;CL 48 39 58;AMPARO GUEVARA CARRASQUILLA;RECTOR;2182156 2172251;AMPARO GUEVARA CARRASQUILLA;RECTOR;2182156 2172251;casamm@une.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;10;LA CANDELARIA;CENT DE DESARROLLO INTEGRADO - CENDI;IE ;305001017361;2399815 3217588610;mercadeo1@cendi.edu.co;CR 42 49 59;CESAR ALBERTO PRADA PLATA;RECTOR;2399815 3217588610;CESAR ALBERTO PRADA PLATA;RECTOR;2399815 3217588610;mercadeo1@cendi.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;10;LA CANDELARIA;CORP ESC EMPRESARIAL DE EDUCACION;IE ;305001022631;2172690;cee@une.net.co;CL 52 39 50;ROCIO ELENA CADAVID FERNANDEZ;RECTORA;2172690;ROCIO ELENA CADAVID FERNANDEZ;RECTORA;2172690;cee@une.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;10;LA CANDELARIA;COL NUEVO CERVANTES CONOCER;IE ;305001024544;5406130;coordinacionacademica@nuevocervantes.edu.co;CL 49 43 30;OSCAR EMIRO RIVAS URRUTIA ;RECTOR;5406130;RECTOR;RECTOR;5406130;coordinacionacademica@nuevocervantes.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;10;LA CANDELARIA;COL NUEVO CERVANTES CONOCER;IE ;305001024544;2396262;coordinacionacademica@nuevocervantes.edu.co;CL 50 56 11;OSCAR EMIRO RIVAS URRUTIA ;RECTOR;2396262;OSCAR EMIRO RIVAS URRUTIA ;RECTOR;2396262;coordinacionacademica@nuevocervantes.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;10;LA CANDELARIA;COL NAL DE CAPACITACIÓN ACADEMICA Y CULTURAL CENCAL;IE ;305001800065;4442048;Sin registro;CL 56 41 155 ;MANUEL JOSE QUIRAMA RAMIREZ ;RECTOR;4442048;MANUEL JOSE QUIRAMA RAMIREZ;RECTOR;4442048;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;10;LA CANDELARIA;COL COMPUSOCIAL;IE ;305001024609;5121666-3439800-3435155;Sin registro ;CR 45    49 60;JORGE ENRIQUE BEJARANO LINARES;RECTOR;5121666-3439800-3435155;JORGE ENRIQUE BEJARANO LINARES;RECTOR;5121666-3439800-3435155;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;10;LA CANDELARIA;CENTRO DE ESTUDIOS MULTITÉCNICO;IE ;305001025568;2935559;info@multitecnico.edu.co;CR 47 53 45;LUZ AMPARO ROJO CHAVERRA;RECTORA;2935559-5753530;LUZ AMPARO ROJO DE CHAVERRA;RECTORA;2935559-5753530;info@multitecnico.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;10;LA CANDELARIA;COL CREADORES DEL FUTURO;IE ;305001020558;2391160-2528790;Sin registro;"CL 47  41-31; CL 47  43-114; CRA 29  108-15";VIANEIS LEONOR CORPAS OSPIN0;RECTORA;2391160-2528790;VIANEIS LEONOR CORPAS OSPIN0;RECTORA;2391160-2528790;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;11;LAURELES - ESTADIO;INST EDUC MARCO FIDEL SUAREZ;IE ;105001002119;3222822 EXT 101;iemarcofidelsuarezmedellin@gmail.com;CR 70 49 70;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;3222822 EXT 101;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;3222822 EXT 101;iemarcofidelsuarezmedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;11;LAURELES - ESTADIO;SEC ESC CUARTA BRIGADA;IE ;105001002119;4218769;iemarcofidelsuarezmedellin@gmail.com;CL 53    76-267;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;4218769;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;4218769;iemarcofidelsuarezmedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;11;LAURELES - ESTADIO;SEC ESC CARLOS OBANDO VELASCO;IE ;105001002119;2304985;iemarcofidelsuarezmedellin@gmail.com;CR 67A    42-24;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;2304985;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;2304985;iemarcofidelsuarezmedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;7;ROBLEDO;SEC ESC LA IGUANA;IE ;105001002119;2606802;iemarcofidelsuarezmedellin@gmail.com;CL 59 65 75;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;2606802;JOSE GERARDO IGNACIO GUTIERREZ PIEDRAHITA;RECTOR;2606802;iemarcofidelsuarezmedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;11;LAURELES - ESTADIO;INST EDUC LUCRECIO JARAMILLO VELEZ;IE ;105001002461;4122939 Ext 11;direccionlucreciojaramillo@gmail.com;CR 79 38 59;JUAN CARLOS RODRIGUEZ GUAYABAN ;RECTOR;4122939 Ext 11;JUAN CARLOS RODRIGUEZ GUAYABAN ;RECTOR;4122939 Ext 11;direccionlucreciojaramillo@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;11;LAURELES - ESTADIO;SEC ESC AGRUPACION COLOMBIA;IE ;105001002461;4119222;direccionlucreciojaramillo@gmail.com;CL 44A    75-68;JUAN CARLOS RODRIGUEZ GUAYABAN ;RECTOR;4122939 Ext 11;JUAN CARLOS RODRIGUEZ GUAYABAN ;RECTOR;4122939 Ext 11;direccionlucreciojaramillo@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;11;LAURELES - ESTADIO;INST EDUC MATER DEI;IE ;105001002798;4361257;Sin registro;CR 68 42 70;NANCY EUGENIA BERNAL PATIÑO;RECTORA;4361257;NANCY EUGENIA BERNAL PATIÑO;RECTORA;4361257;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;12;LA AMERICA;INST EDUC CRISTOBAL COLON;IE ;105001001252;2532517 - 2536271;Sin registro;CL 38 92 93;JUAN DE DIOS ARANGO MEDRANO;RECTOR;2532517 - 2536271;JUAN DE DIOS ARANGO MEDRANO;RECTOR;2532517 - 2536271;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;12;LA AMERICA;SEC ESC JARDIN INFANTIL # 2 ;IE ;1050010111410;2536271;Sin registro;CL 37 92 24;JUAN DE DIOS ARANGO MEDRANO;RECTOR;2536271;JUAN DE DIOS ARANGO MEDRANO;RECTOR;2536271;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;12;LA AMERICA;INST EDUC LOLA GONZALEZ;IE ;105001001490;5408160 EXT 104;informacion@lola.edu.co;CL 47 F 94 63;JESUS HUBERTO GIRALDO OROZCO;RECTOR;5408160 EXT 104;JESUS HUBERTO GIRALDO OROZCO;RECTOR;5408160 EXT 104;informacion@lola.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;12;LA AMERICA;SEC ESCUELA SANTA LUCIA ;IE ;105001001490;2341289;informacion@lola.edu.co;CR 89 A 47 DD 71;JESUS HUBERTO GIRALDO OROZCO;RECTOR;2341289;JESUS HUBERTO GIRALDO OROZCO;RECTOR;2341289;informacion@lola.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;12;LA AMERICA;INST EDUC RAFAEL URIBE URIBE;IE ;105001002020;2508252;infoieraeluribe.edu.co;CR 82 42 C 58;CESAR AUGUSTO RODRIGUEZ HENAO ;RECTOR;2508252;CESAR AUGUSTO RODRIGUEZ HENAO;RECTOR;2508252;infoieraeluribe.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;12;LA AMERICA;SEC ESC RAFAEL URIBE URIBE;IE ;105001002020;2508012;infoieraeluribe.edu.co;CR 83  42C 54;CESAR AUGUSTO RODRIGUEZ HENAO;RECTOR;2508012;CESAR AUGUSTO RODRIGUEZ HENAO;RECTOR;2508012;infoieraeluribe.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;12;LA AMERICA;INST EDUC SAMUEL BARRIENTOS RESTREPO;IE ;105001002526;2530779-2530780-2531437;ie.samuelbarrientos@medellin.gov.co;CL 44 94 119;ORLANDO DE JESUS SANCHEZ URREGO;RECTOR;2530779-2530780-2531437;ORLANDO DE JESUS SANCHEZ URREGO;RECTOR;2530779-2530780-2531437;ie.samuelbarrientos@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;12;LA AMERICA;SEC ESC MONSEÑOR PERDOMO;IE ;105001002526;2529888;ie.samuelbarrientos@medellin.gov.co;CLL 44 NO 97-14;ORLANDO DE JESUS SANCHEZ URREGO;RECTOR;2529888;ORLANDO DE JESUS SANCHEZ URREGO;RECTOR;2529888;ie.samuelbarrientos@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;12;LA AMERICA;SEC ESC PIO XII;IE ;105001002526;2531446;ie.samuelbarrientos@medellin.gov.co;CR 98    44-52;ORLANDO DE JESUS SANCHEZ URREGO;RECTOR;2531446;ORLANDO DE JESUS SANCHEZ URREGO;RECTOR;2531446;ie.samuelbarrientos@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;12;LA AMERICA;INST EDUC FRANCISCO ANTONIO ZEA;IE ;105001002895;4122361;Sin registro;CR 82 35 40;JAIR ALBERTO QUIROZ QUIRAMA;RECTOR;4122361;JAIR ALBERTO QUIROZ QUIRAMA;RECTOR;4122361;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;12;LA AMERICA;SEC ESC PEDRO DE CASTRO;IE ;105001002895;2538107;Sin registro;CL 40    86A-101;JAIR ALBERTO QUIROZ QUIRAMA;RECTOR;2538107;JAIR ALBERTO QUIROZ QUIRAMA;RECTOR;2538107;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;12;LA AMERICA;INST EDUC LA PIEDAD;IE ;105001002976;2347999;ie.lapiedad@medellin.gov.co;CR 81 54 71;JESUS ANTONIO JARAMILLO ARANGO;RECTOR;2347999;JESUS ANTONIO JARAMILLO ARANGO;RECTOR;2347999;ie.lapiedad@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;12;LA AMERICA;INST EDUC SANTA ROSA DE LIMA;IE ;105001003387;4122537/2508083 EXT 103-105;isrlima@gmail.com;CL 45 G 80 95;LAURA CRISTINA VASQUEZ PEREZ;RECTOR;4122537/2508083 EXT 103-105;LAURA CRISTINA VASQUEZ PEREZ;RECTOR;4122537/2508083 EXT 103-105;isrlima@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;13;SAN JAVIER;SEC ESC LA PRADERA;IE ;105001003387;2528123;isrlima@gmail.com;CR 97A NO 49A-15;LAURA CRISTINA VASQUEZ PEREZ;RECTOR;2528123;LAURA CRISTINA VASQUEZ PEREZ;RECTOR;2528123;isrlima@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;13;SAN JAVIER;SEC ESC REPUBLICA DE PANAMA;IE ;105001003387;2340776;isrlima@gmail.com;CR 88 NO 49DD-70;LAURA CRISTINA VASQUEZ PEREZ;RECTORA;2340776;LAURA CRISTINA VASQUEZ PEREZ;RECTORA;2340776;isrlima@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;12;LA AMERICA;INST EDUC CONCEJO DE MEDELLIN;IE ;105001006980;4119115;Sin registro;CR 82 47 A 65;MONICA PATRICIA PEREZ SANCHEZ;RECTORA;4119115;MONICA PATRICIA PEREZ SANCHEZ;RECTORA;4119115;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;12;LA AMERICA;SEC ESC PICHINCHA;IE ;105001006980;4119245;Sin registro;CR 86    45B-17;MONICA PATRICIA PEREZ SANCHEZ;RECTORA;4119245;MONICA PATRICIA PEREZ SANCHEZ;RECTORA;4119245;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;12;LA AMERICA;SEC ESC CLODOMIRO RAMIREZ;IE ;105001006980;4211148;Sin registro;CR 89A    47B-39;MONICA PATRICIA PEREZ SANCHEZ;RECTORA;4211148;MONICA PATRICIA PEREZ SANCHEZ;RECTORA;4211148;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;13;SAN JAVIER;INST EDUC BENEDIKTA ZUR NIEDEN;IE ;105001007188;4967376;info@benedikta.edu.co;CR 95    42C-02;FERNANDO ANTONIO CARVAJAL OQUENDO;RECTOR;4967376;FERNANDO ANTONIO CARVAJAL OQUENDO;RECTOR;4967376;info@benedikta.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;12;LA AMERICA;INST EDUC AMERICA;IE ;105001011886;4922122-4961277-4922111;Sin registro;CL 34 EE 91 20;LILIANA MARIA RÍOS DUQUE;RECTORA;4922122-4961277-4922111;LILIANA MARIA RÍOS DUQUE;RECTORA;4922122-4961277-4922111;Sin registro;ACTIVO ;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;13;SAN JAVIER;SEC ESC BETANIA;IE ;105001011886;2531582;Sin registro;KR 110 A 34 82;LILIANA MARIA RÍOS DUQUE;RECTORA;2531582;LILIANA MARIA RÍOS DUQUE;RECTORA;2531582;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;Sin registro;Sin registro;SEC ESC MONSEÑOR PERDOMO;IE ;105001002526;2529888;Sin registro;CL 44    97-14;Sin registro;Sin registro;Sin registro;ORLANDO DE J. SANCHEZ URREGO;Sin registro;2529888;Sin registro;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;Sin registro;Sin registro;SEC ESC PIO XII;IE ;105001002526;2531446;Sin registro;CR 98    44-52;Sin registro;Sin registro;Sin registro;ORLANDO DE J. SANCHEZ URREGO;Sin registro;2531446;Sin registro;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;Sin registro;Sin registro;SEC ESC REPUBLICA DE PANAMA;IE ;105001003387;2340776;Sin registro;CR 88    49DD-70;Sin registro;Sin registro;Sin registro;LAURA CRISTINA VASQUEZ PEREZ;Sin registro;2340776;Sin registro;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;Sin registro;Sin registro;SEC ESC LA PRADERA;IE ;105001003387;2528123;Sin registro;CR 97A    49A-15;Sin registro;Sin registro;Sin registro;LAURA CRISTINA VASQUEZ PEREZ;Sin registro;2528123;Sin registro;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;13;SAN JAVIER;INST EDUC JUAN XXIII;IE ;105001006556;4461100-4461090;Sin registro;CL 49 96 A 11;ALBERTO LAN FUENTES;RECTOR;4461100-4461090;ALBERTO LAN FUENTES;RECTOR;4461100-4461090;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;Sin registro;Sin registro;SEC ESC BETANIA;IE ;105001011886;2531582;Sin registro;CR 110A  34 82;Sin registro;Sin registro;Sin registro;LILIANA MARIA RIOS DUQUE;Sin registro;2531582;Sin registro;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;13;SAN JAVIER;INST EDUC PERPETUO SOCORRO;IE ;105001000809;2539037;Sin registro;CR 92 34 D 53;HNA CLARA ESTER VALENCIA GARCIA;RECTORA;2539037;HNA CLARA ESTER VALENCIA GARCIA;RECTORA;2539037;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;13;SAN JAVIER;INST EDUC CARLOS VIECO ORTIZ;IE ;105001001881;2532504;ie.carlosviecoortiz@medellin.gov.co;CL 40 105 36;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2532504;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2532504;ie.carlosviecoortiz@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;13;SAN JAVIER;SEC ESC JUAN DE DIOS ARANZAZU;IE ;105001001881;2530160;ie.carlosviecoortiz@medellin.gov.co;CL 42    105-42;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2530160;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2530160;ie.carlosviecoortiz@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;13;SAN JAVIER;SEC ESC MUNICIPAL SAN JAVIER;IE ;105001001881;2533170;ie.carlosviecoortiz@medellin.gov.co;CR 108 39 D 07;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2533170;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2533170;ie.carlosviecoortiz@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;13;SAN JAVIER;SEC ESC VEINTE DE JULIO;IE ;105001001881;2520596;ie.carlosviecoortiz@medellin.gov.co;CR 106 38 40;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2520596;YOLANDA DEL CARMEN VAHOS CEBALLOS;RECTORA;2520596;ie.carlosviecoortiz@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
